,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1.402,0.0,83.0,0.1553,0.0594,0.1359,0.0,1.263,0.0,71.0,0.2093,0.0476,0.1395,0.0,1.083,0.03,65.0,0.2532,0.1299,0.2278,0.0,1.272,0.0,77.0,0.1978,0.1124,0.1319,0.0
84,0.94,0.0,54.0,0.2697,0.0455,0.1236,0.0,1.435,0.0,88.0,0.3208,0.1048,0.2075,0.0,2.986,0.0,223.0,0.3782,0.0922,0.1777,0.0,1.973,0.0,128.0,0.4,0.0632,0.1647,0.0
85,1.163,0.0,60.0,0.4426,0.1333,0.2787,0.0,1.35,0.0,65.0,0.4531,0.1905,0.2656,0.0,1.341,0.0,74.0,0.4853,0.194,0.2647,0.0,2.988,0.0,178.0,0.3457,0.1162,0.1564,0.0
86,1.458,0.0,92.0,0.5234,0.2756,0.2969,0.0,1.639,0.0,64.0,0.4317,0.2133,0.3348,0.0,1.101,0.0,65.0,0.4848,0.2009,0.2944,0.0,1.827,0.13,106.0,0.5328,0.2353,0.3285,0.0
87,1.056,0.13,64.0,0.3832,0.1509,0.2336,0.0,3.836,0.0,240.0,0.4395,0.1439,0.1975,0.0,0.848,0.0,49.0,0.3881,0.1106,0.2388,0.0,1.361,0.0,69.0,0.4364,0.1651,0.3091,0.0
88,1.404,0.0,81.0,0.4015,0.1756,0.2197,0.0,2.379,0.0,67.0,0.3745,0.0884,0.1275,0.0,1.583,0.03,103.0,0.4948,0.2035,0.2927,0.0,1.488,0.02,95.0,0.4029,0.0942,0.1942,0.0
89,1.074,0.03,61.0,0.4271,0.1789,0.3333,0.0,2.351,0.0,150.0,0.3958,0.1139,0.2827,0.0,0.878,0.03,51.0,0.3956,0.1889,0.3187,0.0,1.483,0.04,94.0,0.4405,0.1244,0.2819,0.0
90,4.18,0.02,320.0,0.3939,0.0913,0.1861,0.0,1.879,0.0,114.0,0.4622,0.1365,0.2072,0.0,1.147,0.05,67.0,0.3922,0.099,0.2255,0.0,1.217,0.04,68.0,0.3645,0.0896,0.1872,0.0
91,1.02,0.0,56.0,0.3128,0.0791,0.1676,0.0,1.512,0.0,96.0,0.4128,0.1204,0.2569,0.0,1.434,0.01,80.0,0.2609,0.0195,0.1449,0.0,1.359,0.04,83.0,0.3235,0.0495,0.1373,0.0
92,1.091,0.0,70.0,0.4061,0.1333,0.264,0.0,1.172,0.0,64.0,0.4271,0.1579,0.2396,0.0,0.833,0.0,40.0,0.369,0.1687,0.2143,0.0,0.926,0.0,47.0,0.3333,0.1047,0.2069,0.0
93,1.341,0.0,82.0,0.3657,0.1667,0.2457,0.0,1.163,0.0,69.0,0.3195,0.1429,0.1834,0.0,1.657,0.0,90.0,0.2737,0.073,0.1508,0.0,2.335,0.0,82.0,0.3011,0.0971,0.1591,0.0
94,1.397,0.0,73.0,0.4302,0.1647,0.2558,0.0,2.666,0.0,137.0,0.4681,0.1717,0.2298,0.0,1.168,0.1,72.0,0.3372,0.0706,0.1744,0.0,1.869,0.03,109.0,0.4601,0.1043,0.1972,0.0
