,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Quantized_Model,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression,Quantized_Prompt_Compression
,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore,Latency_Sec,RAM_Used_MB,Output_Word_Count,ROUGE1,ROUGE2,ROUGEL,BERTScore
Paper_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1.761,0.06,66.0,0.1608,0.0,0.0704,0.0,1.198,0.02,69.0,0.299,0.0729,0.1856,0.0,1.556,0.04,64.0,0.1333,0.0104,0.0923,0.0,2.093,0.05,149.0,0.3669,0.0942,0.2086,0.0
312,5.689,0.05,247.0,0.1823,0.0,0.0911,0.0,1.515,0.01,87.0,0.5481,0.233,0.3462,0.0,1.303,0.03,42.0,0.1566,0.0122,0.0964,0.0,1.315,0.02,84.0,0.4926,0.2189,0.335,0.0
313,4.161,0.02,179.0,0.2252,0.009,0.1126,0.0,1.63,0.0,104.0,0.4363,0.1937,0.255,0.0,1.02,0.0,38.0,0.0979,0.007,0.0769,0.0,1.713,0.0,115.0,0.4132,0.144,0.2259,0.0
314,3.143,0.05,118.0,0.1853,0.0064,0.1086,0.0,8.776,0.07,594.0,0.2857,0.0793,0.1224,0.0,1.027,0.02,35.0,0.1014,0.0,0.0737,0.0,2.209,0.0,91.0,0.4222,0.1567,0.2593,0.0
315,3.237,0.0,113.0,0.2171,0.0,0.125,0.0,3.64,0.0,228.0,0.5286,0.1579,0.2238,0.0,1.419,0.0,47.0,0.1397,0.0088,0.0786,0.0,1.625,0.04,83.0,0.4286,0.1364,0.2256,0.0
316,1.938,1.54,65.0,0.1826,0.0088,0.113,0.0,1.362,0.02,80.0,0.4397,0.1391,0.2328,0.0,3.702,0.07,155.0,0.247,0.0242,0.1084,0.0,37.587,0.49,2609.0,0.1006,0.021,0.0608,0.0
317,4.717,0.05,169.0,0.1264,0.0075,0.0967,0.0,2.676,0.01,167.0,0.3252,0.082,0.1545,0.0,0.733,0.03,11.0,0.0645,0.0,0.0645,0.0,1.112,0.03,56.0,0.3259,0.0752,0.2074,0.0
318,4.115,0.07,166.0,0.2071,0.011,0.1308,0.0,2.072,0.03,124.0,0.451,0.1579,0.2745,0.0,1.085,0.01,38.0,0.1091,0.0,0.0909,0.0,1.908,0.0,127.0,0.463,0.2006,0.2508,0.0
319,0.85,0.03,24.0,0.0588,0.0,0.049,0.0,1.327,0.0,72.0,0.2972,0.0405,0.1767,0.0,0.941,0.04,33.0,0.1038,0.0,0.066,0.0,1.065,0.02,62.0,0.3529,0.1102,0.2269,0.0
320,6.89,0.0,306.0,0.1548,0.0041,0.0855,0.0,1.229,0.0,73.0,0.3983,0.131,0.1991,0.0,0.945,0.0,18.0,0.069,0.0,0.0575,0.0,1.544,0.0,83.0,0.3782,0.0932,0.2101,0.0
321,1.094,0.0,38.0,0.0784,0.0,0.0549,0.0,1.881,0.0,84.0,0.3758,0.0946,0.1946,0.0,2.091,0.08,77.0,0.1898,0.0137,0.1153,0.0,22.726,0.16,1211.0,0.2126,0.0332,0.0952,0.0
322,3.823,0.03,141.0,0.2187,0.0,0.096,0.0,3.13,0.02,169.0,0.3518,0.0707,0.1508,0.0,5.103,0.07,207.0,0.2222,0.0134,0.1111,0.0,1.629,0.05,73.0,0.2591,0.0535,0.1262,0.0
323,1.293,0.0,41.0,0.1311,0.0083,0.0656,0.0,1.732,0.06,90.0,0.3391,0.0488,0.173,0.0,1.037,0.02,25.0,0.1316,0.0,0.0789,0.0,1.482,0.01,83.0,0.3732,0.1135,0.1831,0.0
324,2.112,0.0,81.0,0.1369,0.0,0.1065,0.0,1.05,0.0,52.0,0.2523,0.0455,0.1532,0.0,7.329,0.0,313.0,0.1958,0.0116,0.1113,0.0,2.167,0.0,156.0,0.4134,0.1162,0.1945,0.0
325,1.808,0.04,67.0,0.1918,0.0092,0.1005,0.0,1.573,0.0,54.0,0.3333,0.0816,0.2121,0.0,1.821,0.0,32.0,0.1236,0.0,0.0674,0.0,1.528,0.1,84.0,0.386,0.0973,0.2193,0.0
326,3.876,0.0,158.0,0.239,0.0049,0.1171,0.0,2.276,0.0,112.0,0.3228,0.0522,0.1383,0.0,2.106,0.04,88.0,0.1763,0.0061,0.1033,0.0,2.15,0.04,133.0,0.328,0.0432,0.1398,0.0
327,1.495,0.05,58.0,0.1017,0.0068,0.0678,0.0,2.999,0.03,219.0,0.4857,0.1109,0.1987,0.0,0.885,0.04,30.0,0.0769,0.0078,0.0615,0.0,2.218,0.19,130.0,0.4986,0.1322,0.263,0.0
328,6.559,0.21,295.0,0.1857,0.0169,0.1097,0.0,5.933,0.08,470.0,0.2182,0.0663,0.1289,0.0,0.964,0.0,37.0,0.119,0.0,0.1071,0.0,2.254,0.01,210.0,0.2507,0.0587,0.1633,0.0
329,8.473,0.04,369.0,0.1387,0.0077,0.0809,0.0,2.948,0.0,192.0,0.5112,0.1994,0.2748,0.0,1.413,0.01,49.0,0.2036,0.0,0.1078,0.0,1.839,0.04,124.0,0.4034,0.1525,0.1765,0.0
330,14.155,0.0,622.0,0.1301,0.0051,0.0791,0.0,2.09,0.0,127.0,0.4314,0.1581,0.251,0.0,1.81,0.0,50.0,0.1461,0.0,0.1011,0.0,2.336,0.0,121.0,0.4597,0.1626,0.2742,0.0
331,4.081,0.0,120.0,0.1875,0.007,0.1111,0.0,1.953,0.09,63.0,0.4292,0.2488,0.2831,0.0,0.737,0.11,24.0,0.1257,0.0116,0.0914,0.0,1.185,0.06,63.0,0.3963,0.1488,0.2212,0.0
332,2.921,0.04,109.0,0.1392,0.0074,0.0952,0.0,1.756,0.02,83.0,0.309,0.0693,0.1803,0.0,1.826,0.03,54.0,0.1429,0.0,0.0952,0.0,0.972,0.02,57.0,0.4,0.1675,0.2927,0.0
333,6.697,0.08,285.0,0.2464,0.0109,0.1196,0.0,1.362,0.05,79.0,0.2876,0.0724,0.183,0.0,1.15,0.03,47.0,0.1083,0.0145,0.0722,0.0,1.529,0.01,95.0,0.3519,0.087,0.2099,0.0
334,7.333,0.05,312.0,0.1989,0.0148,0.1068,0.0,1.71,0.02,94.0,0.4052,0.1908,0.268,0.0,2.81,0.04,110.0,0.2061,0.0122,0.097,0.0,1.699,0.05,88.0,0.1288,0.0137,0.0881,0.0
335,3.264,0.04,133.0,0.214,0.0135,0.1137,0.0,1.02,0.01,60.0,0.3805,0.1084,0.1659,0.0,5.185,0.04,219.0,0.2274,0.0208,0.1292,0.0,1.474,0.0,85.0,0.4914,0.1826,0.2328,0.0
336,10.566,0.02,461.0,0.1728,0.0093,0.1019,0.0,1.601,0.0,100.0,0.4,0.1107,0.2431,0.0,13.848,0.0,577.0,0.1496,0.0127,0.0963,0.0,1.768,0.0,130.0,0.4755,0.1408,0.1888,0.0
337,1.149,0.0,29.0,0.1031,0.0104,0.0825,0.0,1.599,0.0,93.0,0.4444,0.16,0.246,0.0,4.837,0.0,213.0,0.2137,0.0051,0.117,0.0,1.285,0.0,68.0,0.4,0.1345,0.2311,0.0
338,3.778,0.0,162.0,0.1978,0.011,0.1044,0.0,1.968,0.0,131.0,0.5188,0.1572,0.2688,0.0,4.478,0.0,211.0,0.2163,0.0048,0.1106,0.0,1.678,0.0,113.0,0.505,0.2007,0.3189,0.0
339,3.383,0.03,139.0,0.2202,0.0123,0.1162,0.0,31.287,0.02,1663.0,0.1475,0.0516,0.0774,0.0,7.928,0.0,373.0,0.1869,0.0139,0.1073,0.0,2.102,0.0,126.0,0.3826,0.1149,0.2349,0.0
340,3.212,0.0,57.0,0.1775,0.0,0.1065,0.0,2.762,0.15,94.0,0.4264,0.0718,0.1827,0.0,10.981,0.01,490.0,0.1193,0.0063,0.0848,0.0,1.588,0.07,80.0,0.4105,0.1809,0.2632,0.0
341,4.601,0.03,171.0,0.2269,0.0,0.1319,0.0,1.94,0.05,106.0,0.461,0.1706,0.3254,0.0,4.994,0.05,223.0,0.237,0.0095,0.128,0.0,1.798,0.02,124.0,0.3269,0.0839,0.1731,0.0
342,0.659,0.02,17.0,0.0511,0.0,0.0511,0.0,1.575,0.01,101.0,0.3833,0.1453,0.2056,0.0,2.288,0.08,88.0,0.15,0.0112,0.0889,0.0,1.321,0.04,84.0,0.414,0.1935,0.1866,0.0
343,1.34,0.09,43.0,0.1111,0.0,0.0741,0.0,1.783,0.02,107.0,0.3041,0.0828,0.152,0.0,7.849,0.08,352.0,0.0529,0.0088,0.0441,0.0,1.849,0.0,115.0,0.2712,0.0914,0.1695,0.0
344,6.163,0.03,249.0,0.2056,0.0094,0.1121,0.0,2.037,0.0,127.0,0.4218,0.0952,0.2109,0.0,4.036,0.0,159.0,0.2372,0.0065,0.1282,0.0,1.571,0.0,91.0,0.5607,0.1941,0.2929,0.0
345,0.446,0.02,2.0,0.0233,0.0,0.0233,0.0,2.627,0.0,78.0,0.4606,0.1227,0.2424,0.0,1.898,0.0,50.0,0.1972,0.0,0.0986,0.0,4.376,0.0,155.0,0.418,0.0744,0.2049,0.0
346,1.196,3.28,40.0,0.0959,0.0,0.0822,0.0,8.084,0.19,536.0,0.1909,0.0628,0.0876,0.0,9.654,0.12,415.0,0.1343,0.0213,0.0813,0.0,2.861,0.04,154.0,0.4586,0.1364,0.2556,0.0
347,3.933,0.41,144.0,0.2026,0.0221,0.1233,0.0,1.79,0.04,118.0,0.3171,0.0735,0.161,0.0,5.842,0.02,250.0,0.2544,0.0177,0.1378,0.0,2.053,0.0,122.0,0.3285,0.0777,0.1884,0.0
348,1.19,0.04,34.0,0.1134,0.0,0.1031,0.0,1.449,0.02,86.0,0.4333,0.1513,0.275,0.0,1.18,0.06,48.0,0.1268,0.0,0.078,0.0,1.347,0.0,74.0,0.4224,0.1217,0.2586,0.0
349,2.984,0.02,139.0,0.1805,0.0076,0.1053,0.0,1.266,0.0,82.0,0.4752,0.18,0.3168,0.0,2.38,0.05,94.0,0.2192,0.0184,0.1279,0.0,1.167,0.0,72.0,0.5417,0.2421,0.3646,0.0
350,4.011,0.05,188.0,0.2314,0.0111,0.1157,0.0,1.529,0.04,91.0,0.5078,0.2205,0.2891,0.0,16.385,0.08,727.0,0.129,0.0125,0.0687,0.0,1.041,0.0,49.0,0.3679,0.181,0.2264,0.0
351,4.134,0.0,39.0,0.1033,0.0306,0.0669,0.0,1.635,0.0,81.0,0.3215,0.1151,0.2125,0.0,1.21,0.31,31.0,0.0813,0.0,0.0562,0.0,3.29,0.07,217.0,0.5049,0.1807,0.2466,0.0
352,5.864,0.15,240.0,0.2278,0.0127,0.1097,0.0,1.39,0.01,87.0,0.3425,0.0828,0.1712,0.0,1.883,0.04,63.0,0.1309,0.0,0.0727,0.0,1.23,0.02,77.0,0.3688,0.1,0.1773,0.0
353,1.817,0.04,56.0,0.1497,0.0138,0.1088,0.0,1.455,0.02,90.0,0.4,0.0694,0.24,0.0,0.812,0.05,24.0,0.0762,0.0,0.0762,0.0,2.917,0.05,177.0,0.3485,0.0916,0.1742,0.0
354,3.74,0.03,143.0,0.2043,0.0054,0.1129,0.0,1.629,0.0,103.0,0.391,0.1161,0.1923,0.0,2.275,0.0,88.0,0.1759,0.0066,0.1042,0.0,1.509,0.0,98.0,0.4197,0.1188,0.2426,0.0
355,1.194,0.01,41.0,0.1549,0.0,0.0986,0.0,0.978,0.0,68.0,0.4048,0.0964,0.1667,0.0,0.489,0.17,11.0,0.0714,0.0,0.0714,0.0,1.694,0.0,106.0,0.3786,0.0784,0.1845,0.0
356,2.324,0.0,77.0,0.1846,0.0233,0.0923,0.0,6.009,0.02,354.0,0.2962,0.0811,0.1538,0.0,0.441,0.01,5.0,0.0347,0.0,0.0347,0.0,2.516,0.0,110.0,0.4982,0.129,0.2705,0.0
357,1.168,0.05,40.0,0.1642,0.0,0.0896,0.0,1.684,0.04,68.0,0.284,0.075,0.1728,0.0,1.461,0.02,54.0,0.1699,0.0132,0.1046,0.0,1.806,0.0,100.0,0.3093,0.0937,0.2165,0.0
358,3.125,0.0,112.0,0.1793,0.0069,0.1034,0.0,1.747,0.0,118.0,0.4755,0.1338,0.1818,0.0,6.544,0.0,255.0,0.2296,0.0222,0.1015,0.0,0.997,0.0,64.0,0.3789,0.0978,0.1938,0.0
359,2.649,0.0,110.0,0.2154,0.0,0.1077,0.0,1.127,0.01,61.0,0.4545,0.1837,0.3232,0.0,4.868,0.0,216.0,0.199,0.0053,0.1152,0.0,2.04,0.0,133.0,0.5314,0.1859,0.2952,0.0
360,4.034,0.0,138.0,0.2091,0.007,0.1324,0.0,1.431,0.2,94.0,0.4159,0.0982,0.177,0.0,1.487,0.02,53.0,0.1789,0.0106,0.1053,0.0,3.222,0.02,227.0,0.4628,0.0499,0.1818,0.0
361,1.861,0.03,65.0,0.1351,0.0,0.0721,0.0,1.485,0.01,78.0,0.3084,0.0889,0.1762,0.0,4.62,0.04,181.0,0.1829,0.0115,0.0971,0.0,1.241,0.04,68.0,0.3056,0.0654,0.1574,0.0
362,1.02,0.0,32.0,0.0583,0.0117,0.0525,0.0,1.26,0.01,76.0,0.2768,0.0787,0.1775,0.0,1.785,0.0,49.0,0.1035,0.0055,0.0763,0.0,1.638,0.0,116.0,0.3318,0.0667,0.1848,0.0
363,1.093,0.04,34.0,0.0631,0.0,0.0541,0.0,1.729,0.0,103.0,0.3931,0.1528,0.2069,0.0,5.187,0.07,209.0,0.2201,0.024,0.1196,0.0,1.578,0.0,73.0,0.374,0.1385,0.229,0.0
364,11.162,0.08,513.0,0.0797,0.0,0.0574,0.0,1.32,0.0,72.0,0.3885,0.1606,0.3022,0.0,8.188,0.0,244.0,0.1092,0.0,0.0747,0.0,1.478,0.0,81.0,0.3784,0.0822,0.1892,0.0
365,9.162,0.05,380.0,0.1867,0.0033,0.1,0.0,1.321,0.05,77.0,0.4269,0.1434,0.2134,0.0,1.854,0.03,75.0,0.2188,0.0079,0.1172,0.0,1.465,0.02,90.0,0.4436,0.1288,0.203,0.0
366,0.659,0.04,16.0,0.07,0.0,0.0545,0.0,1.201,0.01,57.0,0.3087,0.1351,0.2349,0.0,1.763,0.04,69.0,0.1346,0.0,0.0833,0.0,1.911,0.03,121.0,0.4767,0.1598,0.2466,0.0
367,1.023,0.04,28.0,0.0683,0.0,0.0614,0.0,1.764,0.0,116.0,0.3926,0.1173,0.2706,0.0,3.019,0.02,132.0,0.2475,0.0398,0.1386,0.0,1.586,0.0,109.0,0.4516,0.1514,0.2903,0.0
368,1.962,0.0,66.0,0.1722,0.0193,0.0957,0.0,3.056,0.0,180.0,0.5123,0.1988,0.2346,0.0,8.004,0.01,387.0,0.163,0.0145,0.0978,0.0,2.269,0.0,146.0,0.4948,0.1384,0.2955,0.0
369,1.225,0.0,35.0,0.1128,0.0,0.0718,0.0,1.687,0.0,73.0,0.2707,0.0441,0.1135,0.0,8.901,0.0,353.0,0.1908,0.0106,0.0919,0.0,1.392,0.03,86.0,0.314,0.0583,0.1405,0.0
370,1.913,0.0,59.0,0.16,0.0,0.08,0.0,1.363,0.04,83.0,0.314,0.0583,0.1653,0.0,1.497,0.0,48.0,0.0943,0.0,0.0755,0.0,1.558,0.0,98.0,0.3256,0.0391,0.1473,0.0
371,5.557,0.0,245.0,0.1458,0.0059,0.0875,0.0,2.078,0.0,135.0,0.4608,0.1023,0.2396,0.0,2.442,0.0,97.0,0.1827,0.0,0.0812,0.0,1.903,0.0,130.0,0.5213,0.1627,0.2275,0.0
372,11.822,0.0,549.0,0.1296,0.0108,0.0837,0.0,1.879,0.03,115.0,0.4444,0.139,0.2682,0.0,1.926,0.0,80.0,0.2212,0.0,0.1062,0.0,1.243,0.02,81.0,0.4071,0.0982,0.2124,0.0
373,1.588,0.0,57.0,0.1532,0.0091,0.0901,0.0,1.055,0.0,55.0,0.3486,0.1204,0.2294,0.0,1.244,0.0,51.0,0.1743,0.0,0.1009,0.0,2.106,0.0,123.0,0.4306,0.1119,0.2292,0.0
374,0.92,0.0,26.0,0.069,0.0,0.0613,0.0,1.582,0.0,69.0,0.3311,0.1,0.1921,0.0,1.979,0.0,83.0,0.162,0.0188,0.0997,0.0,1.487,0.0,96.0,0.3758,0.0915,0.2121,0.0
375,11.187,0.05,513.0,0.1495,0.017,0.0874,0.0,2.423,0.0,166.0,0.4867,0.094,0.2067,0.0,1.428,0.0,46.0,0.1848,0.0,0.1196,0.0,1.781,0.0,117.0,0.4578,0.1377,0.257,0.0
376,2.126,0.04,77.0,0.1227,0.0,0.0613,0.0,1.569,0.0,87.0,0.3636,0.1227,0.1818,0.0,1.965,0.0,84.0,0.1916,0.0,0.0838,0.0,2.19,0.0,128.0,0.4,0.1379,0.2341,0.0
377,3.467,0.05,163.0,0.2514,0.0056,0.1117,0.0,1.268,0.0,75.0,0.3707,0.0934,0.2239,0.0,2.421,0.01,90.0,0.2021,0.014,0.1115,0.0,1.734,0.0,100.0,0.4,0.0424,0.1754,0.0
378,8.247,0.0,309.0,0.2355,0.0067,0.1028,0.0,1.438,0.0,85.0,0.297,0.0915,0.1758,0.0,9.156,0.0,416.0,0.2251,0.0203,0.1097,0.0,0.952,0.0,51.0,0.2703,0.1224,0.1757,0.0
379,2.781,0.0,98.0,0.201,0.0102,0.1106,0.0,2.005,0.0,64.0,0.3311,0.1611,0.2119,0.0,20.54,0.36,942.0,0.0577,0.009,0.0414,0.0,1.325,0.03,79.0,0.4096,0.0854,0.1928,0.0
380,8.723,0.03,391.0,0.2248,0.0229,0.1238,0.0,1.442,0.01,70.0,0.3755,0.0849,0.1839,0.0,8.381,0.05,358.0,0.2207,0.0136,0.1154,0.0,1.666,0.0,111.0,0.4276,0.1126,0.2368,0.0
381,1.152,0.01,30.0,0.0538,0.0,0.0462,0.0,1.852,0.0,109.0,0.4543,0.2077,0.2183,0.0,2.718,0.04,123.0,0.17,0.0228,0.085,0.0,1.698,0.02,86.0,0.4227,0.1397,0.2334,0.0
382,1.258,0.01,41.0,0.1092,0.0085,0.0756,0.0,1.512,0.03,79.0,0.2826,0.1022,0.2101,0.0,8.883,0.02,408.0,0.2327,0.0284,0.1226,0.0,1.577,0.0,103.0,0.4147,0.1481,0.2341,0.0
383,3.394,0.0,114.0,0.2053,0.0077,0.1293,0.0,1.674,0.0,57.0,0.342,0.1257,0.2591,0.0,4.827,0.04,182.0,0.213,0.006,0.1065,0.0,1.566,0.03,82.0,0.4,0.1009,0.2727,0.0
384,1.23,0.04,35.0,0.0989,0.0,0.0769,0.0,1.966,0.04,125.0,0.4307,0.1176,0.2409,0.0,1.494,0.03,45.0,0.1117,0.0205,0.0914,0.0,1.103,0.01,65.0,0.3128,0.1148,0.2654,0.0
385,6.402,0.14,268.0,0.162,0.0051,0.0911,0.0,1.279,0.02,82.0,0.4505,0.1889,0.2637,0.0,2.8,0.05,119.0,0.2183,0.0176,0.1135,0.0,1.478,0.02,97.0,0.402,0.1218,0.2412,0.0
386,1.733,0.05,81.0,0.1607,0.0,0.0804,0.0,1.995,0.01,139.0,0.518,0.1594,0.2878,0.0,2.28,0.0,100.0,0.1774,0.0,0.1129,0.0,2.066,0.0,126.0,0.4242,0.1069,0.2576,0.0
387,3.818,0.0,167.0,0.2079,0.0056,0.1292,0.0,1.761,0.01,104.0,0.4413,0.1792,0.2847,0.0,5.169,0.01,210.0,0.1881,0.0149,0.104,0.0,1.415,0.02,85.0,0.4031,0.1719,0.2248,0.0
388,3.035,0.02,107.0,0.1891,0.0073,0.0873,0.0,1.766,0.0,75.0,0.5217,0.193,0.287,0.0,6.472,0.0,242.0,0.1608,0.0048,0.104,0.0,1.793,0.0,92.0,0.439,0.1311,0.2276,0.0
389,2.277,0.0,85.0,0.2039,0.0196,0.1068,0.0,1.224,0.0,70.0,0.5217,0.1758,0.2391,0.0,3.742,0.0,149.0,0.1773,0.0,0.0993,0.0,1.341,0.01,82.0,0.5025,0.1726,0.2312,0.0
390,3.859,0.0,172.0,0.2206,0.0151,0.1303,0.0,3.196,0.0,215.0,0.3953,0.1229,0.2071,0.0,1.363,0.03,48.0,0.1374,0.0077,0.0916,0.0,5.11,0.05,381.0,0.3729,0.0884,0.1831,0.0
391,1.434,0.0,59.0,0.1265,0.0049,0.0827,0.0,1.927,0.0,101.0,0.3385,0.1148,0.1714,0.0,7.82,0.16,333.0,0.274,0.0227,0.1186,0.0,1.441,0.0,78.0,0.2331,0.0609,0.1399,0.0
392,4.605,0.0,176.0,0.2534,0.0108,0.124,0.0,1.473,0.07,102.0,0.446,0.087,0.2158,0.0,1.152,0.04,38.0,0.1193,0.0,0.0826,0.0,1.235,0.02,68.0,0.4033,0.1494,0.2716,0.0
393,3.527,0.07,155.0,0.1766,0.0052,0.1039,0.0,0.995,0.01,56.0,0.2943,0.0608,0.166,0.0,1.336,0.09,48.0,0.1374,0.0154,0.0992,0.0,1.27,0.03,78.0,0.3668,0.1324,0.2076,0.0
394,3.341,0.0,131.0,0.2467,0.0,0.1067,0.0,1.011,0.0,58.0,0.2749,0.0478,0.1327,0.0,7.016,0.01,302.0,0.229,0.0082,0.0982,0.0,1.684,0.01,122.0,0.3571,0.0791,0.1429,0.0
395,1.595,0.04,46.0,0.1075,0.0,0.0753,0.0,1.617,0.0,92.0,0.4934,0.1244,0.2555,0.0,1.539,0.0,50.0,0.1828,0.0,0.086,0.0,2.539,0.0,149.0,0.5398,0.1882,0.346,0.0
396,2.873,0.11,111.0,0.2125,0.0074,0.0952,0.0,2.426,0.0,89.0,0.4937,0.1941,0.2929,0.0,2.8,0.0,38.0,0.1212,0.0102,0.0808,0.0,1.879,1.36,70.0,0.3439,0.0913,0.2081,0.0
397,3.589,1.89,132.0,0.2208,0.019,0.1325,0.0,1.459,0.04,75.0,0.3884,0.0833,0.2066,0.0,4.549,0.05,201.0,0.2097,0.0051,0.0972,0.0,2.206,0.03,106.0,0.446,0.0942,0.2158,0.0
398,6.804,0.09,274.0,0.1196,0.0109,0.0924,0.0,1.748,0.01,100.0,0.2642,0.051,0.1761,0.0,1.83,0.04,71.0,0.237,0.0301,0.1481,0.0,1.385,0.03,77.0,0.219,0.0593,0.146,0.0
399,3.64,0.06,138.0,0.1522,0.0073,0.087,0.0,1.889,0.02,127.0,0.2893,0.0333,0.1157,0.0,2.704,0.0,106.0,0.1545,0.0087,0.0944,0.0,2.314,0.0,144.0,0.2857,0.0545,0.1467,0.0
400,2.578,0.02,105.0,0.2206,0.0358,0.1352,0.0,1.776,0.14,111.0,0.4089,0.1273,0.171,0.0,2.147,0.03,81.0,0.1479,0.0,0.0856,0.0,1.086,0.02,67.0,0.3733,0.1166,0.2222,0.0
401,5.825,0.07,255.0,0.1778,0.0335,0.1167,0.0,1.254,0.03,78.0,0.3758,0.1472,0.2667,0.0,1.326,0.0,42.0,0.1667,0.0154,0.1364,0.0,1.013,0.0,51.0,0.3942,0.1185,0.219,0.0
402,1.699,0.0,57.0,0.14,0.0101,0.11,0.0,1.35,0.0,85.0,0.3009,0.0804,0.177,0.0,6.308,0.05,270.0,0.2409,0.0137,0.1227,0.0,2.939,0.04,225.0,0.3405,0.0707,0.1459,0.0
403,1.814,0.0,67.0,0.1206,0.0143,0.0851,0.0,1.177,0.03,65.0,0.3088,0.0963,0.1765,0.0,12.696,0.07,585.0,0.1871,0.0168,0.1079,0.0,1.562,0.02,100.0,0.3203,0.0592,0.1503,0.0
404,3.902,0.0,157.0,0.1868,0.0078,0.1012,0.0,1.767,0.01,121.0,0.3865,0.039,0.1546,0.0,1.412,0.0,44.0,0.1985,0.0,0.1221,0.0,1.435,0.0,97.0,0.4444,0.0899,0.1889,0.0
405,1.607,0.0,55.0,0.1564,0.0131,0.0847,0.0,2.204,0.02,127.0,0.4085,0.1333,0.2228,0.0,3.275,0.02,143.0,0.2287,0.0196,0.1168,0.0,1.107,0.04,66.0,0.2866,0.0705,0.1401,0.0
406,3.962,0.0,159.0,0.1651,0.0062,0.0856,0.0,1.222,0.0,76.0,0.2982,0.0442,0.1754,0.0,1.928,0.0,77.0,0.1857,0.0,0.1181,0.0,2.812,0.0,195.0,0.3563,0.0636,0.1724,0.0
407,0.844,0.04,30.0,0.0797,0.008,0.0558,0.0,1.484,0.0,87.0,0.4065,0.1623,0.2968,0.0,1.453,0.0,71.0,0.1701,0.0205,0.1088,0.0,1.749,0.0,125.0,0.4195,0.1561,0.2356,0.0
408,1.569,0.02,40.0,0.113,0.0,0.0791,0.0,1.374,0.0,82.0,0.4372,0.1408,0.2512,0.0,3.6,0.0,169.0,0.1896,0.0123,0.1101,0.0,0.768,0.0,57.0,0.3915,0.2139,0.2646,0.0
409,11.522,0.08,534.0,0.2684,0.0333,0.133,0.0,1.056,0.0,72.0,0.2939,0.087,0.196,0.0,1.232,0.02,33.0,0.0764,0.0,0.0573,0.0,2.486,0.0,102.0,0.3386,0.1064,0.2011,0.0
410,6.456,0.02,264.0,0.1872,0.0108,0.1016,0.0,1.57,0.01,109.0,0.3037,0.0423,0.1571,0.0,2.008,0.03,78.0,0.2339,0.0118,0.1287,0.0,1.816,0.01,111.0,0.2959,0.0309,0.1327,0.0
411,21.025,0.08,971.0,0.0981,0.0067,0.0615,0.0,91.085,0.01,4693.0,0.0494,0.0177,0.0283,0.0,1.581,0.02,59.0,0.1538,0.0,0.0865,0.0,1.587,0.02,82.0,0.354,0.0804,0.1681,0.0
412,5.523,0.01,220.0,0.2444,0.0223,0.12,0.0,1.136,0.0,69.0,0.2717,0.0456,0.1585,0.0,11.598,0.0,507.0,0.186,0.0081,0.1024,0.0,1.296,0.0,80.0,0.2888,0.0364,0.1733,0.0
413,7.854,0.0,332.0,0.1719,0.0295,0.1048,0.0,1.48,0.0,96.0,0.4372,0.1221,0.2698,0.0,2.351,0.0,84.0,0.1923,0.0097,0.1346,0.0,1.432,0.0,92.0,0.4571,0.1154,0.2286,0.0
414,2.168,0.0,89.0,0.1639,0.0132,0.0918,0.0,29.795,0.0,1681.0,0.1976,0.0835,0.0999,0.0,3.05,0.0,132.0,0.1834,0.0231,0.0974,0.0,1.988,0.0,119.0,0.4424,0.1442,0.2368,0.0
415,2.551,0.01,122.0,0.1966,0.0086,0.1026,0.0,1.346,0.0,81.0,0.4199,0.0782,0.1878,0.0,1.253,0.01,45.0,0.1854,0.0268,0.106,0.0,1.097,0.0,56.0,0.3439,0.1161,0.1783,0.0
416,3.151,0.0,104.0,0.2256,0.0076,0.1203,0.0,1.205,0.01,68.0,0.4395,0.19,0.2332,0.0,3.882,0.01,177.0,0.2543,0.0116,0.1329,0.0,4.651,0.0,312.0,0.4728,0.1765,0.1925,0.0
417,3.76,0.06,157.0,0.233,0.013,0.1165,0.0,1.625,0.01,93.0,0.4675,0.1921,0.2944,0.0,6.122,0.05,280.0,0.2237,0.018,0.1208,0.0,1.156,0.04,70.0,0.3707,0.1182,0.2146,0.0
418,3.044,0.03,117.0,0.2147,0.0114,0.1186,0.0,1.43,0.0,89.0,0.3514,0.1608,0.23,0.0,8.666,0.05,369.0,0.2414,0.022,0.1191,0.0,1.227,0.01,76.0,0.2953,0.0811,0.1678,0.0
